message,emotion,tokens
"I'm very Lucky to have you in my life.
","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', ""'m"", 'very', 'Lucky', 'to', 'have', 'you', 'in', 'my', 'life', '.']"
chilll brooo,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['chilll', 'brooo']"
I am fine,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'am', 'fine']"
I have selected for 4th year special (Honors) degree.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'have', 'selected', 'for', '4th', 'year', 'special', '(', 'Honors', ')', 'degree', '.']"
When my friends suddenly come to my house,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['When', 'my', 'friends', 'suddenly', 'come', 'to', 'my', 'house']"
University trip,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['University', 'trip']"
"I'm feeling so happy right now! Everything is going well, and I just can't stop smiling. 😊

","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', ""'m"", 'feeling', 'so', 'happy', 'right', 'now', '!', 'Everything', 'is', 'going', 'well', ',', 'and', 'I', 'just', 'ca', ""n't"", 'stop', 'smiling', '.', '😊']"
When I get a credit from my favourite person,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['When', 'I', 'get', 'a', 'credit', 'from', 'my', 'favourite', 'person']"
"I’m feeling absolutely amazing today! Everything just feels right, and I’m so grateful for the little moments that bring so much happiness. Smiling nonstop and sending good vibes your way!","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', '’', 'm', 'feeling', 'absolutely', 'amazing', 'today', '!', 'Everything', 'just', 'feels', 'right', ',', 'and', 'I', '’', 'm', 'so', 'grateful', 'for', 'the', 'little', 'moments', 'that', 'bring', 'so', 'much', 'happiness', '.', 'Smiling', 'nonstop', 'and', 'sending', 'good', 'vibes', 'your', 'way', '!']"
I am happy,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'am', 'happy']"
I'm going home ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', ""'m"", 'going', 'home']"
I achieved the goal which I prayed for,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'achieved', 'the', 'goal', 'which', 'I', 'prayed', 'for']"
I am very happy ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'am', 'very', 'happy']"
I am very happy to sharing this information with you,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'am', 'very', 'happy', 'to', 'sharing', 'this', 'information', 'with', 'you']"
Tomorrow l will go to the trip,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Tomorrow', 'l', 'will', 'go', 'to', 'the', 'trip']"
Going on a trip,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Going', 'on', 'a', 'trip']"
I'm so happy 😊 ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', ""'m"", 'so', 'happy', '😊']"
Returning home from hostel ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Returning', 'home', 'from', 'hostel']"
😊,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)",['😊']
I was successed in my career ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'was', 'successed', 'in', 'my', 'career']"
I feel excited for today,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'feel', 'excited', 'for', 'today']"
I got best results in exam ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'got', 'best', 'results', 'in', 'exam']"
🤩,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)",['🤩']
when i met my friends yesterday unexpectedly.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['when', 'i', 'met', 'my', 'friends', 'yesterday', 'unexpectedly', '.']"
When talking to God and parents ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['When', 'talking', 'to', 'God', 'and', 'parents']"
Everything just seems to be going right,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Everything', 'just', 'seems', 'to', 'be', 'going', 'right']"
I was happy when I understood a tough concept in statistics practical after struggling with it for days.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'was', 'happy', 'when', 'I', 'understood', 'a', 'tough', 'concept', 'in', 'statistics', 'practical', 'after', 'struggling', 'with', 'it', 'for', 'days', '.']"
I felt joy when I saw my name on the Dean’s List after the semester results were released.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'felt', 'joy', 'when', 'I', 'saw', 'my', 'name', 'on', 'the', 'Dean', '’', 's', 'List', 'after', 'the', 'semester', 'results', 'were', 'released', '.']"
IAM so happy ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['IAM', 'so', 'happy']"
I have passed in all examinations ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'have', 'passed', 'in', 'all', 'examinations']"
I am going home,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'am', 'going', 'home']"
I am excited ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'am', 'excited']"
I feel happy when I play with my nephew,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'feel', 'happy', 'when', 'I', 'play', 'with', 'my', 'nephew']"
Got selected for the university badminton team.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Got', 'selected', 'for', 'the', 'university', 'badminton', 'team', '.']"
Got good result in semester exam,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Got', 'good', 'result', 'in', 'semester', 'exam']"
"Won the inter-faculty football match.
","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Won', 'the', 'inter-faculty', 'football', 'match', '.']"
"She replied ""haha"" instead of ignoring me! 😄
","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['She', 'replied', '``', 'haha', ""''"", 'instead', 'of', 'ignoring', 'me', '!', '😄']"
Got free lunch from senior today,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Got', 'free', 'lunch', 'from', 'senior', 'today']"
Got my first internship offer today,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Got', 'my', 'first', 'internship', 'offer', 'today']"
Good day ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Good', 'day']"
Top rank in class this semester! All that grinding paid off!,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Top', 'rank', 'in', 'class', 'this', 'semester', '!', 'All', 'that', 'grinding', 'paid', 'off', '!']"
Scored the winning goal today! Felt amazing!,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Scored', 'the', 'winning', 'goal', 'today', '!', 'Felt', 'amazing', '!']"
Just got my dream job! Let’s goooo!,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Just', 'got', 'my', 'dream', 'job', '!', 'Let', '’', 's', 'goooo', '!']"
Finally bought my first bike! Can’t stop smiling!,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Finally', 'bought', 'my', 'first', 'bike', '!', 'Can', '’', 't', 'stop', 'smiling', '!']"
Had the most perfect day with my favorite people.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Had', 'the', 'most', 'perfect', 'day', 'with', 'my', 'favorite', 'people', '.']"
I scored a goal in today's match.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'scored', 'a', 'goal', 'in', 'today', ""'s"", 'match', '.']"
I finally submitted that assignment early—feeling so accomplished!,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'finally', 'submitted', 'that', 'assignment', 'early—feeling', 'so', 'accomplished', '!']"
Guess who aced the midterm? Me!! ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Guess', 'who', 'aced', 'the', 'midterm', '?', 'Me', '!', '!']"
I'm looking great today,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', ""'m"", 'looking', 'great', 'today']"
Group project actually went well... miracles happen,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Group', 'project', 'actually', 'went', 'well', '...', 'miracles', 'happen']"
Got my internship offer today—I’m so hyped!,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Got', 'my', 'internship', 'offer', 'today—I', '’', 'm', 'so', 'hyped', '!']"
Coffee + friends + no lectures = perfect day ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Coffee', '+', 'friends', '+', 'no', 'lectures', '=', 'perfect', 'day']"
Just got tickets to my dream concert,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Just', 'got', 'tickets', 'to', 'my', 'dream', 'concert']"
All lectures cancelled today. I feel free!,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['All', 'lectures', 'cancelled', 'today', '.', 'I', 'feel', 'free', '!']"
Got great feedback from my professor—made my day!,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Got', 'great', 'feedback', 'from', 'my', 'professor—made', 'my', 'day', '!']"
"Had the best study session ever, felt so productive.","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Had', 'the', 'best', 'study', 'session', 'ever', ',', 'felt', 'so', 'productive', '.']"
I got the admission to my dream university ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'got', 'the', 'admission', 'to', 'my', 'dream', 'university']"
"My presentation rocked, and I’m still buzzing!","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['My', 'presentation', 'rocked', ',', 'and', 'I', '’', 'm', 'still', 'buzzing', '!']"
Just vibing in the library with good music and no stress.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Just', 'vibing', 'in', 'the', 'library', 'with', 'good', 'music', 'and', 'no', 'stress', '.']"
"Laughed so hard today, I forgot all my worries.","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Laughed', 'so', 'hard', 'today', ',', 'I', 'forgot', 'all', 'my', 'worries', '.']"
Today was a perfect mix of laughter and sunshine.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Today', 'was', 'a', 'perfect', 'mix', 'of', 'laughter', 'and', 'sunshine', '.']"
"Made someone smile today, and it made my day too.","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Made', 'someone', 'smile', 'today', ',', 'and', 'it', 'made', 'my', 'day', 'too', '.']"
Finally finished a tough task—so proud of myself!,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Finally', 'finished', 'a', 'tough', 'task—so', 'proud', 'of', 'myself', '!']"
Nothing beats that warm cozy feeling after a good meal.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Nothing', 'beats', 'that', 'warm', 'cozy', 'feeling', 'after', 'a', 'good', 'meal', '.']"
Got a surprise compliment that totally made me blush.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Got', 'a', 'surprise', 'compliment', 'that', 'totally', 'made', 'me', 'blush', '.']"
That made me smile.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['That', 'made', 'me', 'smile', '.']"
Today was a great day.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Today', 'was', 'a', 'great', 'day', '.']"
I am proud of what I did.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'am', 'proud', 'of', 'what', 'I', 'did', '.']"
I am excited for the weekend.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'am', 'excited', 'for', 'the', 'weekend', '.']"
Successfully completed my diploma.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Successfully', 'completed', 'my', 'diploma', '.']"
Bought a new car.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Bought', 'a', 'new', 'car', '.']"
Weekend trip with the boys confirmed! Time to chill!,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Weekend', 'trip', 'with', 'the', 'boys', 'confirmed', '!', 'Time', 'to', 'chill', '!']"
Guess who aced the coding test? This guy right here!,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Guess', 'who', 'aced', 'the', 'coding', 'test', '?', 'This', 'guy', 'right', 'here', '!']"
Guess who aced the coding test? This guy right here! ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Guess', 'who', 'aced', 'the', 'coding', 'test', '?', 'This', 'guy', 'right', 'here', '!']"
Mom sent homemade biriyani to the hostel!,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Mom', 'sent', 'homemade', 'biriyani', 'to', 'the', 'hostel', '!']"
I finally got the grade I was hoping for—so relieved,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'finally', 'got', 'the', 'grade', 'I', 'was', 'hoping', 'for—so', 'relieved']"
Lecturer ended class 30 minutes early blessing!,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Lecturer', 'ended', 'class', '30', 'minutes', 'early', 'blessing', '!']"
That referee was totally biased! We deserved to win! ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['That', 'referee', 'was', 'totally', 'biased', '!', 'We', 'deserved', 'to', 'win', '!']"
Met some amazing people at the club fair today!,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Met', 'some', 'amazing', 'people', 'at', 'the', 'club', 'fair', 'today', '!']"
"Bro, I finally nailed that penalty shot—felt like a pro out there!","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Bro', ',', 'I', 'finally', 'nailed', 'that', 'penalty', 'shot—felt', 'like', 'a', 'pro', 'out', 'there', '!']"
All praise be to almighty,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['All', 'praise', 'be', 'to', 'almighty']"
I didn't do well on the assignment,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'did', ""n't"", 'do', 'well', 'on', 'the', 'assignment']"
I’ve been crying alone in my room… nothing seems to be going right.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', '’', 've', 'been', 'crying', 'alone', 'in', 'my', 'room…', 'nothing', 'seems', 'to', 'be', 'going', 'right', '.']"
I am just tired of everything lately,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'am', 'just', 'tired', 'of', 'everything', 'lately']"
